Variação_12_Meses_(%)_data,Variação_12_Meses_(%)_port1,Variação_12_Meses_(%)_port4,Variação_12_Meses_(%)_port8
2014-08-18,9.7738,9.1196,7.4819
2014-08-19,9.8877,9.3829,7.6548
2014-08-20,9.9017,9.3494,7.6441
2014-08-21,9.8756,9.3535,7.5845
2014-08-22,10.0588,9.708,8.0112
2014-08-25,10.1969,10.0397,8.259
2014-08-26,10.0493,9.7548,8.2451
2014-08-27,10.0489,9.7911,8.3208
2014-08-28,10.0747,9.8457,8.8984
2014-08-29,10.306,10.2619,9.4755
2014-09-02,10.5265,10.6722,10.0561
2014-09-03,10.5007,10.6065,10.2233
2014-09-04,10.5253,10.6831,10.7775
