Variação_Diária_(%),data
-0.1863,2013-10-08
0.1023,2013-10-09
0.2975,2013-10-10
0.1498,2013-10-11
0.1656,2013-10-14
-0.1562,2013-10-15
0.3035,2013-10-16
0.0911,2013-10-17
0.0505,2013-10-18
0.0135,2013-10-21
0.341,2013-10-22
0.0903,2013-10-23
0.078,2013-10-24
0.2171,2013-10-25
-0.0251,2013-10-28
0.0658,2013-10-29
-0.0593,2013-10-30
-0.0885,2013-10-31
-0.005,2013-11-01
0.0735,2013-11-04
-0.2786,2013-11-05
0.1286,2013-11-06
-0.3913,2013-11-07
0.1807,2013-11-08
-0.2159,2013-11-11
0.066,2013-11-12
0.1801,2013-11-13
0.3269,2013-11-14
0.1068,2013-11-18
-0.1706,2013-11-19
0.0254,2013-11-21
0.0973,2013-11-22
-0.1862,2013-11-25
0.0269,2013-11-26
-0.0118,2013-11-27
0.1281,2013-11-29
-0.2856,2013-12-02
-0.1713,2013-12-03
-0.0666,2013-12-04
-0.181,2013-12-05
0.2479,2013-12-06
-0.0645,2013-12-09
0.0697,2013-12-10
-0.3387,2013-12-11
-0.0773,2013-12-12
-0.1208,2013-12-13
0.1616,2013-12-16
-0.0338,2013-12-17
0.2358,2013-12-18
-0.0134,2013-12-19
0.1919,2013-12-20
-0.1311,2013-12-23
0.219,2013-12-26
0.2659,2013-12-27
0.0769,2013-12-30
-0.041,2014-01-02
0.0049,2014-01-03
-0.0439,2014-01-06
0.2039,2014-01-07
-0.1509,2014-01-08
-0.1468,2014-01-09
-0.1608,2014-01-10
-0.2613,2014-01-13
0.1359,2014-01-14
0.1775,2014-01-15
-0.3241,2014-01-16
-0.0419,2014-01-17
-0.3916,2014-01-21
-0.082,2014-01-22
-0.4121,2014-01-23
-0.566,2014-01-24
-0.3824,2014-01-27
0.0141,2014-01-28
-0.5651,2014-01-29
0.2258,2014-01-30
0.0153,2014-01-31
-0.8876,2014-02-03
0.0911,2014-02-04
-0.0416,2014-02-05
0.0705,2014-02-06
0.2844,2014-02-07
-0.1273,2014-02-10
0.2332,2014-02-11
-0.023,2014-02-12
0.2872,2014-02-13
0.3157,2014-02-14
0.4111,2014-02-18
-0.0197,2014-02-19
0.3532,2014-02-20
0.4325,2014-02-21
0.4064,2014-02-24
0.3437,2014-02-25
0.1859,2014-02-26
0.4855,2014-02-27
0.2241,2014-02-28
0.3713,2014-03-05
-0.0479,2014-03-06
-0.0892,2014-03-07
-0.2436,2014-03-10
-0.004,2014-03-11
0.0444,2014-03-12
-0.3362,2014-03-13
-0.1232,2014-03-14
0.2198,2014-03-17
0.1338,2014-03-18
-0.1774,2014-03-19
0.0907,2014-03-20
0.1382,2014-03-21
-0.0374,2014-03-24
0.2447,2014-03-25
-0.0017,2014-03-26
0.1492,2014-03-27
0.0127,2014-03-28
0.2409,2014-03-31
0.1114,2014-04-01
0.1355,2014-04-02
0.0578,2014-04-03
-0.1391,2014-04-04
-0.1082,2014-04-07
0.1321,2014-04-08
0.1554,2014-04-09
-0.4427,2014-04-10
-0.1855,2014-04-11
0.2409,2014-04-14
0.2274,2014-04-15
0.162,2014-04-16
0.1696,2014-04-17
0.1795,2014-04-22
0.0963,2014-04-23
0.1125,2014-04-24
-0.1378,2014-04-25
0.1176,2014-04-28
0.0539,2014-04-29
0.1334,2014-04-30
0.281,2014-05-02
-0.0396,2014-05-05
-0.0424,2014-05-06
0.0889,2014-05-07
-0.0086,2014-05-08
0.092,2014-05-09
0.1543,2014-05-12
0.0456,2014-05-13
0.1004,2014-05-14
-0.167,2014-05-15
0.0524,2014-05-16
0.1293,2014-05-19
-0.1563,2014-05-20
0.2862,2014-05-21
0.07,2014-05-22
0.1071,2014-05-23
0.1068,2014-05-27
0.1398,2014-05-28
0.2982,2014-05-29
0.2069,2014-05-30
-0.0496,2014-06-02
-0.1075,2014-06-03
0.1151,2014-06-04
0.2566,2014-06-05
0.3189,2014-06-06
-0.0072,2014-06-09
0.0259,2014-06-10
-0.019,2014-06-11
0.1246,2014-06-13
-0.0574,2014-06-16
0.0291,2014-06-17
0.2635,2014-06-18
0.0001,2014-06-20
0.0738,2014-06-23
-0.0017,2014-06-24
